@relation kddtrain2017_30
@attribute Feature62 real
@attribute Feature67 real
@attribute Feature28 real
@attribute Feature23 real
@attribute Feature81 real
@attribute Feature74 real
@attribute Feature51 real
@attribute Feature22 real
@attribute Feature44 real
@attribute Feature19 real
@attribute Feature53 real
@attribute Feature84 real
@attribute Feature50 real
@attribute Feature25 real
@attribute Feature79 real
@attribute Feature82 real
@attribute Feature99 real
@attribute Feature72 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature60 real
@attribute Feature5 real
@attribute Feature1 real
@attribute Feature65 real
@attribute Feature11 real
@attribute Feature20 real
@attribute Feature87 real
@attribute Feature26 real
@attribute Feature97 real
@attribute Feature95 real
@attribute class {0,1,2}
@data
0.45132,0.33601,0.3783,0.25247,0.10632,0.75727,0.23039,0.48214,0.00054,0.35892,0.54417,0.62856,0.55819,0.885,0.65049,0.53178,0.47888,0.23007,0.15944,0.2927,0.59358,0.55866,0.1463,0.00056,0.85824,0.26559,0.21211,0.67339,0.77029,0.88515,?
0.61916,0.64654,0.41423,0.45196,0.00052,0.42074,0.35452,0.23069,0.40785,0.681,0.28391,0.00027,0.41665,0.84118,0.61537,0.69092,0.77918,0.1068,0.27926,0.34598,0.63761,0.29251,0.49179,0.63705,0.46099,0.66473,0.55899,0.8852,0.88578,0.47804,?
0.85886,0.82305,0.72305,0.0318,0.00077,0.68688,0.83299,0.07151,0.76173,0.38568,0.31923,0.48722,0.62894,0.88521,0.50078,0.36398,0.52735,0.49695,0.00077,0.06216,0.38107,0.46034,0.2526,0.44264,0.14257,0.40394,0.00002,0.88504,0.64638,0.42518,?
0.00087,0.00981,0.35057,0.73586,0.602,0.68155,0.00048,0.64678,0.01818,0.61169,0.4872,0.74364,0.20896,0.61954,0.72631,0.79664,0.65523,0.28362,0.74384,0.58408,0.85886,0.35044,0.5581,0.53162,0.69037,0.66478,0.88524,0.00057,0.88546,0.41665,?
0.18125,0.09763,0.19731,0.54947,0.53179,0.39454,0.16818,0.34113,0.00087,0.88523,0.25201,0.19597,0.08444,0.59383,0.54407,0.88547,0.82758,0.35457,0.46049,0.70875,0.63313,0.17757,0.67362,0.63768,0.15096,0.76183,0.38941,0.19588,0.77017,0.00053,?
0.17787,0.10662,0.13945,0.78352,0.59337,0.27947,0.14234,0.67775,0.00016,0.88591,0.56284,0.00092,0.42009,0.55808,0.54456,0.88583,0.78842,0.36385,0.67744,0.80518,0.61198,0.53176,0.81446,0.82324,0.76187,0.85427,0.76175,0.21286,0.69092,0.69926,?
0.50043,0.41216,0.15376,0.63757,0.53139,0.30551,0.1773,0.51869,0.00047,0.88504,0.4295,0.00011,0.3415,0.6111,0.55857,0.88555,0.83256,0.35448,0.54952,0.70877,0.64264,0.42947,0.70479,0.69997,0.50454,0.79291,0.5662,0.82327,0.77928,0.50455,?
0.19055,0.11576,0.49829,0.27445,0.00047,0.87245,0.27406,0.4429,0.12463,0.29634,0.51337,0.85829,0.42526,0.88536,0.66825,0.4258,0.4251,0.14209,0.19535,0.15983,0.56676,0.35867,0.08077,0.00052,0.88577,0.21259,0.38937,0.10668,0.68117,0.57574,?
0.42056,0.27413,0.252,0.39493,0.55874,0.50478,0.29291,0.53586,0.00035,0.73543,0.50042,0.52243,0.50927,0.48733,0.68674,0.88528,0.64608,0.48781,0.27971,0.78871,0.79653,0.606,0.434,0.08024,0.51373,0.48274,0.00068,0.54944,0.70863,0.72696,?
0.5131,0.55807,0.35664,0.77994,0.33648,0.40331,0.22161,0.58873,0.31078,0.71715,0.4203,0.0007,0.41236,0.80517,0.54446,0.85803,0.7309,0.00049,0.61114,0.67303,0.5846,0.30193,0.74381,0.8143,0.84176,0.83676,0.88506,0.80547,0.88532,0.60261,?
0.00021,0.0449,0.32538,0.51317,0.42576,0.56274,0.00066,0.61583,0.08879,0.83647,0.50401,0.41662,0.19911,0.70873,0.66833,0.78883,0.88554,0.20425,0.40753,0.63754,0.75777,0.30126,0.48734,0.33657,0.80564,0.56263,0.38944,0.00018,0.88501,0.39857,?
0.00003,0.049,0.34392,0.67748,0.37252,0.58851,0.00035,0.56224,0.09753,0.71297,0.42531,0.46085,0.19076,0.71761,0.73914,0.63787,0.83676,0.0976,0.62836,0.46907,0.82363,0.23955,0.51348,0.55884,0.75269,0.59705,0.88526,0.00091,0.88533,0.38179,?
