@relation kddtrain2017_20
@attribute Feature62 real
@attribute Feature67 real
@attribute Feature28 real
@attribute Feature23 real
@attribute Feature81 real
@attribute Feature74 real
@attribute Feature51 real
@attribute Feature22 real
@attribute Feature44 real
@attribute Feature19 real
@attribute Feature53 real
@attribute Feature84 real
@attribute Feature50 real
@attribute Feature25 real
@attribute Feature79 real
@attribute Feature82 real
@attribute Feature99 real
@attribute Feature72 real
@attribute Feature8 real
@attribute Feature9 real
@attribute class {0,1,2}
@data
0.44208,0.58087,0.38536,0.14692,0.16801,0.49664,0.00090,0.28819,0.27413,0.57115,0.28849,0.22148,0.38503,0.77045,0.61982,0.56694,0.73058,0.16805,0.08436,0.29254,0
0.19013,0.23041,0.41627,0.38956,0.00061,0.44246,0.31013,0.44259,0.38905,0.60253,0.50911,0.00000,0.45643,0.88518,0.70819,0.60222,0.73956,0.13351,0.23994,0.30181,2
0.34566,0.38178,0.60030,0.47838,0.00019,0.57164,0.55802,0.24890,0.62842,0.47345,0.35845,0.25727,0.57120,0.88564,0.44208,0.47889,0.56618,0.22113,0.34544,0.26585,2
0.11575,0.17730,0.60244,0.27039,0.18634,0.85033,0.23041,0.19082,0.35404,0.50491,0.09732,0.88553,0.27063,0.81400,0.69067,0.68155,0.60677,0.00066,0.14217,0.44215,2
0.31063,0.19952,0.08240,0.78392,0.66484,0.16490,0.22100,0.58440,0.00093,0.66447,0.47821,0.00070,0.31009,0.32717,0.29229,0.72649,0.56652,0.45150,0.67361,0.88514,0
0.45190,0.46073,0.17966,0.26107,0.11591,0.32339,0.01898,0.05878,0.03531,0.63793,0.00020,0.00969,0.24880,0.63774,0.46967,0.74358,0.70875,0.00047,0.11514,0.40764,0
0.13795,0.00449,0.33825,0.43832,0.05348,0.66838,0.27458,0.46941,0.00961,0.18144,0.59348,0.45147,0.28800,0.88588,0.54492,0.30170,0.35810,0.30127,0.46555,0.00077,2
0.54015,0.56621,0.38108,0.44282,0.16851,0.44293,0.26595,0.35078,0.31956,0.83215,0.26505,0.00087,0.31497,0.88557,0.67319,0.77974,0.87623,0.00005,0.26594,0.52215,2
0.00012,0.04002,0.27966,0.67780,0.31930,0.47890,0.00073,0.57564,0.08050,0.62483,0.46025,0.15074,0.17775,0.80585,0.68138,0.66469,0.73573,0.08800,0.60226,0.46978,1
0.15546,0.18693,0.55382,0.18122,0.10646,0.88512,0.15973,0.21212,0.22175,0.42543,0.15910,0.88546,0.34138,0.88508,0.71760,0.58482,0.51357,0.00081,0.05326,0.36319,2
0.22146,0.19052,0.54977,0.31066,0.00063,0.80591,0.35438,0.44285,0.29273,0.26180,0.50950,0.72679,0.49118,0.88514,0.57528,0.52262,0.39801,0.13358,0.19994,0.22190,2
0.25240,0.14298,0.11344,0.85059,0.69059,0.22601,0.22182,0.65574,0.00036,0.60275,0.54078,0.00044,0.34132,0.45172,0.27074,0.69920,0.51369,0.46014,0.75256,0.88591,0
0.14221,0.08448,0.43194,0.31022,0.00036,0.69566,0.28365,0.44202,0.16850,0.29695,0.50971,0.50441,0.39477,0.88501,0.58875,0.52216,0.45151,0.13386,0.21281,0.19594,2
0.15095,0.09738,0.54046,0.30130,0.00067,0.88502,0.30115,0.42502,0.19597,0.36706,0.51870,0.88555,0.38946,0.88589,0.73045,0.41645,0.49103,0.18605,0.22665,0.15010,2
0.26507,0.11500,0.28521,0.59373,0.56695,0.57177,0.30130,0.67734,0.00005,0.18155,0.69047,0.25703,0.40344,0.88534,0.51356,0.36382,0.34145,0.59351,0.72695,0.30152,1
0.41285,0.31090,0.38159,0.38137,0.26524,0.76162,0.20448,0.57519,0.00079,0.30160,0.62893,0.63782,0.42977,0.88577,0.57544,0.54055,0.40364,0.37235,0.35002,0.32730,1
0.19964,0.08865,0.53167,0.36316,0.00028,0.88591,0.39830,0.43889,0.17743,0.33605,0.58047,0.88543,0.38587,0.88562,0.67790,0.54003,0.50463,0.28387,0.29251,0.14211,2
0.00065,0.07160,0.46715,0.74364,0.54960,0.79259,0.00026,0.70469,0.14235,0.44758,0.53162,0.87647,0.23963,0.70893,0.63340,0.67311,0.55377,0.20484,0.71781,0.60298,2
0.00016,0.01337,0.25069,0.58082,0.45186,0.47311,0.00090,0.66809,0.02702,0.84583,0.55881,0.31053,0.23562,0.63732,0.43440,0.88555,0.81962,0.23036,0.50970,0.59304,1
0.51841,0.61143,0.74846,0.31460,0.00065,0.75210,0.55891,0.39875,0.74399,0.35409,0.48714,0.82337,0.72120,0.68189,0.56655,0.68172,0.45629,0.17782,0.17386,0.28347,0
0.44739,0.32777,0.24848,0.65556,0.61911,0.49629,0.23988,0.69087,0.00034,0.23081,0.61922,0.10665,0.47388,0.88521,0.45196,0.46053,0.35061,0.47866,0.75200,0.42516,1
0.04435,0.00034,0.24347,0.64256,0.71797,0.48797,0.08887,0.80160,0.00070,0.77491,0.65944,0.21272,0.41638,0.76198,0.54051,0.68100,0.67793,0.43437,0.55881,0.88562,2
0.31493,0.15983,0.27907,0.44250,0.71798,0.55896,0.31024,0.68617,0.00032,0.78343,0.63332,0.38958,0.39465,0.72689,0.54933,0.68189,0.66820,0.61179,0.35890,0.88519,2
0.14216,0.05807,0.45144,0.31970,0.00040,0.78841,0.28390,0.44282,0.11584,0.27060,0.55868,0.69060,0.36378,0.88528,0.58820,0.43485,0.41674,0.23039,0.26503,0.10604,2
0.42504,0.21724,0.29444,0.53131,0.57564,0.58862,0.41653,0.73043,0.00059,0.43805,0.83607,0.33671,0.54079,0.84145,0.65523,0.70865,0.52757,0.78861,0.55869,0.52208,1
0.00010,0.04010,0.21097,0.65945,0.41604,0.34101,0.00025,0.65057,0.08045,0.76541,0.51355,0.02769,0.23541,0.65586,0.47371,0.81446,0.80162,0.14251,0.58412,0.56632,1
0.15968,0.17791,0.53142,0.20808,0.14214,0.88586,0.14274,0.23596,0.17727,0.54448,0.16460,0.88591,0.39474,0.88515,0.83238,0.65511,0.65509,0.00076,0.07143,0.41627,2
0.11929,0.00074,0.32311,0.65597,0.72604,0.64634,0.23964,0.58015,0.00053,0.43416,0.45636,0.40792,0.21715,0.88549,0.48748,0.56669,0.51808,0.47868,0.67728,0.68171,1
0.44702,0.44793,0.36392,0.45606,0.22177,0.44235,0.28378,0.25754,0.28335,0.83604,0.14691,0.00080,0.18690,0.88537,0.68656,0.78855,0.88510,0.00000,0.31452,0.50432,2
0.07531,0.00016,0.40757,0.37672,0.46937,0.81409,0.15010,0.30135,0.00071,0.38997,0.22120,0.88532,0.07508,0.74373,0.50916,0.77909,0.44263,0.31024,0.30175,0.61990,0
0.45662,0.44754,0.23936,0.31497,0.00908,0.46901,0.02789,0.00442,0.00931,0.62401,0.00047,0.28311,0.23513,0.65516,0.59718,0.72662,0.70489,0.00051,0.15956,0.31935,0
0.28370,0.15551,0.40044,0.79289,0.88587,0.80126,0.25768,0.85835,0.00089,0.27952,0.69966,0.88530,0.45640,0.71735,0.60229,0.55816,0.23995,0.56684,0.81443,0.84162,2
